2003-12 , 1
2003-10 , 1
2003-11 , 3
2014-09 , 3
2014-08 , 6
2014-05 , 2
2014-04 , 1
2014-07 , 6
2014-06 , 1
2014-01 , 1
2001-11 , 2
2014-03 , -1
2014-02 , 2
2010-01 , 0
2010-03 , 18
2010-02 , 3
2013-08 , 0
2010-04 , 4
2010-07 , 0
2002-09 , 3
2010-09 , -2
2010-08 , -2
2002-04 , 2
2013-07 , 2
2002-02 , 1
2013-01 , 5
2013-02 , 3
2013-03 , -1
2000-01 , 1
2000-07 , 1
2000-09 , 1
2012-07 , 2
2004-12 , 1
2004-11 , 3
2016-10 , 2
2012-04 , 4
2016-11 , 2
2015-06 , -3
2015-07 , 1
2015-04 , 1
2015-05 , 15
2015-02 , -1
2016-12 , -2
2015-01 , 7
2014-12 , 1
2014-10 , 12
2014-11 , 2
2011-11 , 3
2011-10 , 2
2015-08 , 3
2011-12 , 1
2012-09 , 0
2012-08 , 3
2012-03 , 1
2012-02 , 5
2012-01 , 3
2010-12 , -1
2012-06 , 1
2010-10 , -3
2010-11 , 0
1989-01 , 1
2012-05 , 1
2004-04 , 3
2004-05 , 2
2004-06 , -1
2004-07 , 2
2016-03 , 2
2004-01 , 5
2004-02 , 3
2010-05 , -1
2004-08 , 4
2004-09 , -4
2016-09 , -2
2013-09 , 0
2011-08 , 4
2011-09 , -2
2011-02 , 0
2011-03 , 2
2010-06 , 0
2011-06 , 2
2011-07 , 1
2011-04 , 1
2011-05 , 0
2013-04 , -3
2002-07 , 1
2012-10 , 0
2012-11 , 0
2012-12 , 0
2013-06 , 4
2007-09 , 3
2007-08 , 2
2002-05 , 1
2006-11 , 1
2001-09 , 1
2006-12 , -2
2007-01 , 1
2007-03 , 3
2007-02 , 1
2007-05 , -4
2007-04 , 0
2007-07 , 2
2007-06 , 0
2005-03 , 2
2005-02 , 2
2005-01 , -3
2016-04 , 2
2005-07 , 1
2005-06 , 2
2005-05 , 5
2005-04 , 1
2005-09 , 1
2005-08 , -4
2016-02 , 2
2016-01 , 4
2007-12 , -1
2007-10 , -1
2007-11 , 5
2006-02 , 0
2006-03 , 1
2006-01 , -2
2006-06 , 0
2006-07 , 2
2006-04 , -4
2006-05 , -2
2008-12 , -1
2006-08 , 1
2006-09 , 0
2005-10 , 0
2005-11 , 1
2005-12 , 4
2008-01 , 0
2016-08 , 4
2008-08 , 4
2008-09 , 0
1991-07 , 1
2008-02 , -1
2008-03 , 2
2008-04 , 2
2008-05 , 1
2008-06 , -1
2008-07 , -2
2013-10 , 4
2016-05 , 4
2011-01 , 2
2015-11 , 0
2015-10 , 3
1999-11 , 3
1999-10 , 1
2016-07 , 5
2008-11 , 1
2008-10 , 3
1999-06 , 2
1999-07 , 2
1999-04 , 1
1999-05 , 1
1999-02 , 1
2016-06 , 2
1998-12 , 3
1998-11 , 1
2015-03 , 13
2015-12 , -1
nan , -318
2009-07 , 10
2009-06 , -2
2009-05 , 7
2009-04 , 4
2009-03 , 2
2009-02 , 0
2009-01 , 3
2009-09 , 7
2009-08 , 4
2003-05 , 4
2003-07 , 3
2003-06 , 3
2003-01 , 1
2003-03 , 1
2001-07 , 2
2001-06 , 0
2001-05 , 2
2001-04 , 1
2003-09 , 1
2001-02 , 3
2002-10 , 3
2002-12 , 1
2015-09 , 3
2013-12 , -2
2013-11 , 2
2006-10 , 2
2000-12 , 1
2000-11 , 1
2013-05 , 2
2017-01 , 0
2017-02 , 0
2017-03 , 3
2017-04 , -1
2009-10 , 4
2009-11 , 0
2009-12 , -2
