2003-12 , 7
2003-10 , 12
2003-11 , 14
2002-07 , 6
2014-08 , -1
2014-05 , 3
2014-04 , 4
2014-07 , -3
2014-06 , -3
2001-10 , 3
2001-11 , 4
2001-12 , 3
2014-02 , 4
1987-05 , 1
2010-03 , -3
2010-02 , 4
2013-08 , 1
2010-04 , 11
2002-08 , 4
1987-02 , 1
2002-06 , 5
2013-05 , 2
2002-04 , 7
2002-05 , 6
1987-09 , 1
2002-03 , 3
2013-02 , 1
1997-01 , 3
1972-01 , 1
2000-01 , 6
2000-02 , 4
2000-04 , 5
2000-05 , 2
2000-06 , 4
2000-07 , 2
2000-08 , 3
2000-09 , 1
2014-09 , 7
1988-10 , 1
2012-07 , 2
2005-07 , 17
2004-12 , -12
2004-11 , 0
2004-10 , 10
2009-03 , 12
1998-02 , 1
2009-02 , 0
2015-06 , 0
2015-07 , 7
2015-04 , 4
2015-05 , 5
2015-02 , 5
2016-12 , -2
2015-01 , 9
2014-12 , 1
2014-01 , 3
2014-10 , 4
2014-11 , 6
2011-05 , 5
2011-10 , 2
2012-06 , -2
2011-12 , -1
1987-12 , 2
2012-09 , -6
2012-08 , 4
1984-11 , 1
1985-08 , 1
2012-03 , 2
2012-02 , 3
2012-01 , 0
2013-01 , -2
1985-02 , 1
2012-05 , 2
2012-04 , 2
2011-11 , 5
2010-01 , 5
2005-08 , 6
2009-07 , 2
1988-04 , 1
1989-02 , 2
1988-06 , 1
1989-07 , 2
1989-06 , 1
1988-02 , 2
1988-03 , 2
2004-04 , 11
1984-12 , 1
2004-06 , 13
2004-07 , 10
2016-03 , 6
2016-02 , 5
2004-02 , 12
2004-03 , 6
2010-05 , 6
2009-08 , 12
2004-08 , 4
2004-09 , 5
2016-09 , 3
2013-09 , 1
2011-08 , 2
2011-09 , -1
1981-07 , 1
2010-07 , 3
1981-04 , 2
2011-02 , 3
2011-03 , -3
2010-06 , 1
2011-06 , 6
2011-07 , -6
2011-04 , -1
1988-01 , 1
2013-04 , -2
1972-10 , 1
2010-08 , -14
2012-10 , -6
2012-11 , -12
2012-12 , -17
1986-01 , 1
2013-06 , 9
2015-03 , -1
2007-09 , -21
2007-08 , 4
1992-04 , 1
2006-11 , -7
2003-03 , 6
2016-06 , 2
2004-05 , 10
2007-01 , 16
2002-02 , 3
2007-03 , -2
2003-02 , 4
2007-05 , 13
2007-04 , 6
2007-07 , 3
2007-06 , -4
2005-03 , 1
2005-02 , -2
2005-01 , 7
1984-03 , 1
1984-04 , 1
2005-06 , 11
2005-05 , 5
2005-04 , 4
2015-11 , 3
2005-09 , -1
2013-03 , -2
2004-01 , 17
2009-06 , 7
1981-12 , 1
2016-01 , 9
1997-11 , 2
1997-10 , 2
2003-09 , 9
2003-08 , 11
1990-05 , 1
1990-04 , 1
1990-07 , 1
1990-01 , 1
2007-10 , -1
2007-11 , 9
2002-09 , 8
2014-03 , 6
1973-11 , 1
2006-02 , 10
2006-03 , -3
1991-12 , 1
2006-06 , 6
1991-08 , 1
2006-04 , 2
2006-05 , 6
2013-07 , 3
2008-12 , -2
2006-08 , 15
2006-09 , 0
2010-10 , 6
2005-10 , 6
2005-11 , 7
2005-12 , 4
2002-12 , 7
2008-01 , 7
2007-12 , -6
2016-08 , 1
1983-04 , 1
1997-04 , 1
1997-05 , 3
1997-06 , 1
1997-07 , 2
1990-03 , 1
1997-03 , 1
2010-11 , 0
1990-10 , 2
1992-09 , 1
2010-09 , -4
1992-07 , 2
1991-01 , 2
1992-01 , 1
2008-08 , 6
2008-09 , -1
1983-10 , 1
1991-09 , 1
1991-07 , 1
2008-02 , 3
2008-03 , 11
2008-04 , 8
2008-05 , 5
2008-06 , -42
2008-07 , -1
1982-03 , 1
2013-10 , 10
2016-05 , 6
1996-02 , 3
2011-01 , 5
1996-07 , 1
1996-05 , 1
1991-10 , 1
1996-09 , 2
2016-07 , 4
2006-01 , 7
1998-08 , 2
1998-04 , 4
1998-07 , 3
1998-06 , 1
1998-01 , 1
1992-12 , 1
2006-07 , 7
2015-10 , 2
1999-11 , 2
1993-04 , 1
1993-05 , 1
1993-08 , 1
1993-09 , 1
2008-11 , 2
2017-03 , 3
2008-10 , -7
2002-01 , 6
2007-02 , 6
1999-06 , 3
1999-07 , 1
1999-04 , 3
1999-05 , 2
1998-03 , 1
1999-01 , 5
1998-12 , 2
1998-10 , 1
1998-11 , 3
1999-08 , 5
1999-09 , 4
2015-12 , -2
2016-11 , 3
1996-04 , 2
nan , -808
1994-09 , 1
1994-08 , 2
2009-05 , -21
2009-04 , -1
1995-11 , 4
1995-10 , 1
2009-01 , 12
1994-01 , 1
2009-10 , -2
1994-03 , 1
1994-02 , 3
1994-04 , 2
2009-09 , -4
1994-06 , 1
2003-05 , 11
2003-04 , 7
2003-07 , 9
2003-06 , 8
2003-01 , 15
2001-09 , 2
2001-08 , 3
2001-07 , 6
2001-06 , 11
2001-05 , 6
2001-04 , 4
2001-03 , 5
2001-02 , 10
2001-01 , 8
2002-11 , 3
2002-10 , 4
2016-10 , 7
2016-04 , 3
2015-08 , 5
2015-09 , -1
2013-12 , 3
2013-11 , 7
2006-10 , 15
2000-12 , 2
2000-11 , 2
2000-10 , 5
1994-12 , 1
1994-10 , 1
2017-01 , 5
2017-02 , 1
2006-12 , -1
2017-04 , 1
1995-02 , 1
1995-03 , 2
1995-06 , 1
2009-11 , -10
2009-12 , -10
1995-05 , 4
1995-08 , 1
1995-09 , 1
2010-12 , 2
