2003-12 , 4
2003-10 , 3
2003-11 , 2
2014-09 , 2
2014-08 , -1
2014-05 , 4
2014-04 , 0
2014-07 , -7
2014-06 , 2
2014-01 , 4
2014-03 , -1
2007-04 , 1
2010-01 , 4
2010-03 , 0
2010-02 , 5
2010-05 , 2
2010-04 , 0
2002-08 , 4
2010-06 , 1
2002-06 , 2
2010-08 , -2
2002-04 , 2
2015-12 , 2
1987-09 , 1
1987-08 , 1
2013-02 , 4
2002-01 , 6
2013-07 , 5
2000-01 , 3
2000-02 , 1
2000-03 , 1
2000-04 , 4
2000-05 , 1
2000-06 , 1
2000-07 , 1
2000-08 , 2
2000-09 , 1
2012-07 , 3
2004-12 , -9
2004-11 , -2
2004-10 , 1
2005-07 , 3
2010-11 , 2
2016-11 , -1
2015-06 , -2
2015-07 , 6
2015-04 , 2
2015-05 , 8
2015-02 , 1
1979-12 , 1
2015-01 , 6
2014-12 , 0
2014-10 , 3
2014-11 , 2
2011-11 , 6
2011-10 , -2
2015-08 , 2
2011-12 , -3
2012-09 , -2
2012-08 , 1
1985-09 , 1
2012-03 , -2
2012-02 , -2
2012-01 , 1
2014-02 , 4
2002-03 , 1
2012-06 , 1
2010-10 , 3
2004-05 , 3
1988-08 , 1
1986-08 , 1
1986-06 , 1
1988-07 , 1
2012-05 , 4
1988-02 , 1
2005-05 , -2
2004-04 , 3
2016-06 , -2
2004-06 , -3
2004-07 , 3
2016-03 , 1
2004-01 , 2
2004-02 , 1
2004-03 , -1
2013-08 , 2
2004-08 , 2
2004-09 , -2
2016-09 , -3
2013-09 , 5
2011-08 , 0
2011-09 , 2
2010-07 , 3
2011-02 , 4
2011-03 , 3
2012-04 , 1
2002-09 , 2
2011-06 , 1
2011-07 , 0
2011-04 , 2
2011-05 , 4
2013-04 , 2
2002-07 , 3
2013-03 , -1
2012-11 , -5
2012-12 , -5
1989-04 , 2
2013-06 , 0
2015-03 , 0
2007-09 , -1
2007-08 , -1
2002-05 , 1
2006-11 , -2
2006-10 , 2
2006-12 , -1
1989-10 , 1
2002-02 , 6
2007-03 , -2
2007-02 , 1
2016-05 , 2
2007-07 , -2
2007-06 , 0
2005-03 , 0
2005-02 , 0
2005-01 , 0
2016-04 , 4
1984-04 , 2
2005-06 , -3
1984-06 , 1
2005-04 , 1
2005-09 , 4
2005-08 , 2
2016-02 , 1
1978-07 , 1
2016-01 , 2
1997-10 , 3
2003-09 , 2
2003-08 , 4
1990-01 , 1
2007-10 , 0
2007-11 , 3
1990-09 , 1
2006-02 , 3
2006-03 , -4
2006-01 , 3
2006-06 , 5
2006-07 , 3
2006-04 , 4
2006-05 , -1
2008-12 , 0
2006-08 , 0
2006-09 , 3
2005-10 , 3
2005-11 , 3
2005-12 , -5
2008-01 , 4
2007-12 , -2
2016-08 , 4
1983-05 , 1
2009-06 , 5
2010-12 , -2
2016-10 , 4
1997-07 , 1
1997-01 , 1
1997-08 , 1
1992-06 , 1
1992-02 , 1
1992-01 , 1
2008-08 , -3
2008-09 , -1
1991-07 , 1
2008-02 , 3
2008-03 , 4
2008-04 , -1
2008-05 , -4
2008-06 , -15
2008-07 , -5
1993-12 , 1
1993-10 , 1
1982-05 , 1
2016-12 , 0
1996-02 , 2
1996-01 , 1
2011-01 , -1
2015-11 , 2
1991-10 , 1
1998-04 , 3
1998-01 , 1
1998-03 , 2
2015-10 , 4
1999-12 , 1
1993-01 , 1
1993-04 , 1
2016-07 , 0
2008-11 , 1
1996-11 , 1
2008-10 , 0
1999-06 , 2
2012-10 , 5
1999-04 , 1
1999-01 , 2
1998-12 , 3
1998-10 , 1
1999-08 , 1
1999-09 , 2
nan , -300
2009-07 , 3
1994-08 , 1
2009-05 , -2
2009-04 , 3
2009-03 , 3
2009-01 , 1
1994-01 , 1
2013-01 , 5
1994-04 , 2
2009-09 , 0
2009-08 , 0
2003-05 , 6
2003-04 , 2
2003-07 , 4
2003-06 , 1
2003-01 , 2
2003-03 , 2
2001-08 , 1
2001-07 , 3
2001-04 , 1
2001-03 , 1
2001-02 , 1
2001-01 , 3
2002-11 , 4
2002-10 , 1
2002-12 , 3
2003-02 , 5
2015-09 , 2
2013-11 , 6
2013-10 , -1
2000-12 , 1
2013-05 , 0
1994-11 , 1
2017-01 , 2
2017-02 , 2
2017-03 , -1
2017-04 , 0
2007-01 , 6
1995-01 , 2
2009-10 , 6
2009-11 , -6
2009-12 , -1
1995-09 , 1
